Extracted_Tag_Clean,Alarm_Type,Technique,Confidence,Safeguard_Text,Semantic_Score,Cause_Text,Consequence_Text,Node_ID,S,L,R
AI17378,ALM,Tier 1/2: Deterministic,High,AI-17378/68571 (Splitter 1) Fixed H2S monitors will alert in the control room,N/A,H2S in the LVN,Potential for personnel exposure to H2S in the event of a leak or release,"Node 5, Node 23",2.0,2.0,1.0
AI68571,ALM,Tier 1/2: Deterministic,High,AI-17378/68571 (Splitter 1) Fixed H2S monitors will alert in the control room,N/A,H2S in the LVN,Potential for personnel exposure to H2S in the event of a leak or release,"Node 5, Node 23",2.0,2.0,1.0
AIC63596,LO,Tier 1/2: Deterministic,High,AIC-63596/14123 low oxygen analyzer alarm will prompt operator response,N/A,What if the purge is inadequate? (BMS Sequence Failure),Potential for burner explosion on restart if un reacted fuel is present,Node 10,4.0,1.0,2.0
AIC14123,LO,Tier 1/2: Deterministic,High,AIC-63596/14123 low oxygen analyzer alarm will prompt operator response,N/A,What if the purge is inadequate? (BMS Sequence Failure),Potential for burner explosion on restart if un reacted fuel is present,Node 10,4.0,1.0,2.0
AIC82080,LO,Tier 1/2: Deterministic,High,AIC-82080/24123 low oxygen analyzer alarm will prompt operator response,N/A,What if the purge is inadequate? (BMS Sequence Failure),Potential for burner explosion on restart if un reacted fuel is present,Node 28,4.0,1.0,2.0
AIC24123,LO,Tier 1/2: Deterministic,High,AIC-82080/24123 low oxygen analyzer alarm will prompt operator response,N/A,What if the purge is inadequate? (BMS Sequence Failure),Potential for burner explosion on restart if un reacted fuel is present,Node 28,4.0,1.0,2.0
AI72711,ALM,Tier 1/2: Deterministic,High,Analyzer indicator AI-72711A/C NOx analyzers will prompt operator response,N/A,Ammonia Forwarding Pump PM-24946A/B trips | Manual valve(s) on suction to Ammonia Forwarding Pump PM-24946A/B inadvertently closed or upstream strainer plugged | Manual valve(s) on discharge from Ammonia Forwarding Pump PM-24946A/B inadvertently closed | Failure of expansion joint EJ78006 | Failure of expansion joint EJ-35762 | FCV-57099 fails closed or upstream/downstream manual valve(s) inadvertently closed or upstream filters FIL- 74307A/B plugged | NH3 injection nozzles plugged at furnace SCR | Air blower failure BM-11689A/B | Failure to re-fill Ammonia Storage Tank PV-76255 | Air Heater HTR-48931 control failure | Out of spec ammonia - high or low aqueous NH3 concentration,"Inability to send ammonia to heater system; Potential inability to control air emissions with potential environmental/financial impact | Release of aqueous ammonia to surrounding area and potential personnel impact | Potential inadequate ammonia injection; Potential inability to control air emissions with potential environmental/financial impact | Inability to send dilution air, inability to disperse ammonia properly; Potential reduced ability to control air emissions with potential environmental/financial impact | Excess hot air supply, potential catalyst damage with potential environmental/financial impact | Higher ammonia with potential environmental/financial impact | Higher NOX with potential environmental/financial impact | Potential mineralization on vaporizer; Potential pluggage of vaporizer with potential reduced/loss of flow of ammonia; Potential environmental/financial impact",Node 29,3.0,3.0,2.0
AI85385,ALM,Tier 1/2: Deterministic,High,Analyzer indicator AI-85385A/C NOx analyzers will prompt operator response,N/A,Ammonia Forwarding Pump PM-67967A/B trips | Manual valve(s) on suction to Ammonia Forwarding Pump PM-67967A/B inadvertently closed or upstream strainer plugged | Manual valve(s) on discharge from Ammonia Forwarding Pump PM-67967A/B inadvertently closed | Failure of expansion joint EJ78006 | Failure of expansion joint EJ-35762 | FCV-12237 fails closed or upstream/downstream manual valve(s) inadvertently closed or upstream filters FIL- 78006A/B plugged | NH3 injection nozzles plugged at furnace SCR | Air blower failure BM-17647A/B | Failure to re-fill Ammonia Storage Tank PV-76255 | Air Heater HTR-48931 control failure | Heater unit failure HTR-48931 | Out of spec ammonia - high or low aqueous NH3 concentration,"Inability to send ammonia to heater system; Potential inability to control air emissions with potential environmental/financial impact | Release of aqueous ammonia to surrounding area and potential personnel impact | Potential inadequate ammonia injection; Potential inability to control air emissions with potential environmental/financial impact | Inability to send dilution air, inability to disperse ammonia properly; Potential reduced ability to control air emissions with potential environmental/financial impact | Excess hot air supply, potential catalyst damage with potential environmental/financial impact | Reduced vaporization of NH3 prior to heater injection, potential impaired distribution of NH3 into Hot Oil Furnace H- 101/201; Potential environmental/financial impact | Higher ammonia with potential environmental/financial impact | Higher NOX with potential environmental/financial impact | Potential mineralization on vaporizer; Potential pluggage of vaporizer with potential reduced/loss of flow of ammonia; Potential environmental/financial impact",Node 13,3.0,3.0,2.0
FAL13718,LO,Tier 1/2: Deterministic,High,FAL-13718 Low Flow Alarm downstream of AF-17647 Heavy Naphtha Cooler will prompt operator response,N/A,"LCV-81570 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | T-56446 Combi Tower tray pluggage | 8"" valve closed on heavy naphtha rundown header from one or both splitter towers","Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get heavy naphtha liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-56446 flooding; leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Heavy Naphtha Stripper T-73992/203, potential to overfill T-73992/203 back to Combi Tower T-56446/202, leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Heavy Naphtha Stripper T-73992/203, potential to overfill T-73992/203 back to Combi Tower T-56446/202; high differential pressure; Potential to get heavy naphtha liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact","Node 6, Node 39",4.0,2.0,2.0
AF17647,LO,Tier 1/2: Deterministic,High,FAL-13718 Low Flow Alarm downstream of AF-17647 Heavy Naphtha Cooler will prompt operator response,N/A,"LCV-81570 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | T-56446 Combi Tower tray pluggage | 8"" valve closed on heavy naphtha rundown header from one or both splitter towers","Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get heavy naphtha liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Combi Tower T-56446 flooding; leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Heavy Naphtha Stripper T-73992/203, potential to overfill T-73992/203 back to Combi Tower T-56446/202, leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Heavy Naphtha Stripper T-73992/203, potential to overfill T-73992/203 back to Combi Tower T-56446/202; high differential pressure; Potential to get heavy naphtha liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact","Node 6, Node 39",4.0,2.0,2.0
