Safeguard_Text,Extracted_Tag_Clean,Technique,Node_ID,Confidence,Semantic_Score,S,Cause_Text,Consequence_Text
"8"" valve on feed outlet from EX-92182/203 is CSO",General SIF (No Tag),Tier 2: Semantic NLP Match,Node 19,Medium,0.354,4.0,"EX-99986 Exchanger Isolation | EX-92182 Exchanger Isolation | 8"" manual valve downstream of EX-92182 inadvertently closed",Blocked in flow from EX-92182; Potential thermal expansion and release with potential ignition and personnel impact | Potential thermal expansion and release with potential ignition and personnel impact
Ability to pump to splitter feed tank.,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 45,Medium,0.378,3.0,Development of emulsion layer in Tank- 5.,Potential to discharge out of spec waste water; Potential to impact biologics at water treatment; Potential financial impact
All Hot Oil Circulation Pumps PM- 102A/B/C/D down - trips Hot Oil Heater F- 101,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,4.0,Multiple Hot Oil Circulation Pumps PM- 102A/B/C/D trip,"Reduced hot oil flow, potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact"
All Hot Oil Circulation Pumps PM- 202A/B/C/D down - trips Hot Oil Heater F- 201,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,4.0,Multiple Hot Oil Circulation Pumps PM- 202A/B/C/D trip,"Reduced hot oil flow, potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact"
CM-33219A/B run permissive requires at least one AF-82745 fan running to remain online,AF-82745 | CM-33219A,Tier 1: Explicit Interlock/AF Tag,Node 27,High,N/A,1.0,AF-82745 Gas Aftercooler Fan Failure,Reduced ability to cool CM-33219A/B compressor discharge gas; Potential higher BTUs; Potential increased offgas to Heater; Potential increased emissions with potential environmental impact
CM-81314A/B run permissive requires at least one AF-48603 fan running to remain online,AF-48603 | CM-81314A,Tier 1: Explicit Interlock/AF Tag,Node 9,High,N/A,1.0,AF-48603 Gas Aftercooler Fan Failure,Reduced ability to cool CM-81314A/B compressor discharge gas; Potential higher BTUs; Potential increased offgas to Heater; Potential increased emissions with potential environmental impact
Combustible gas detectors located throughout facility with action to emergency shutdown ESD,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 46,High,N/A,,Leak from any piping flange/ pump seal | Leak from any manual drain valve | Impacts to equipment from external sources,"Potential release of gas/ liquid to atmosphere, potential fire/explosion, personnel injury, environmental impact"
Constant operator monitoring,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 11,Medium,0.359,4.0,"Shutoff valve XV-36955/40116 fails open due to debris or left open (Water draw off pot Interface level control, human intervention to actuate valve)","Potential to send Y Grade to Process Water Tank TK 5- 201. Potential release to atmosphere from vapor space above floating roof, ignition, personnel impact."
Desalter start-up and shutdown procedures,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 34,High,N/A,2.0,Failure to shut off water after starting up and before shutting down,Potential to short out the Desalter grids DT-81314A/B/C; Potential to damage the grids with potential financial impact
FAL-19313 low flow alarm downstream of AF-59524 will shutdown pumps PM- 106A/B,AF-59524 | FAL-19313,Tier 1: Explicit Interlock/AF Tag,Node 40,High,N/A,4.0,"MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | Plugged Kero Filters | Transfer Pump P-1A/B stops | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility","High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524/204; Potential Combi Tower T-56446/202 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; leading to products Diesel and AGO going off- spec, operability/product quality issues; Potential financial impact"
FAL-19313 low flow alarm downstream of AF-59524 will shutdown pumps PM- 106A/B,AF-59524 | FAL-19313,Tier 1: Explicit Interlock/AF Tag,Node 7,High,N/A,4.0,Level control valve LCV-74017 fails closed | Manual valve closed inadvertently in Kero Stripper Product Pump PM-76255A/B suction or basket strainers on suction lines plugged | T-56446 Combi Tower Tray Pluggage,"Potential Combi Tower T-56446 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | High level in Kero Stripper T-59524; Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact"
